date,open,high,close,low,volume,p_change
2019-10-09,3822.61,3845.34,3843.24,3805.07,75854512.0,0.14
2019-10-10,3838.49,3877.14,3874.64,3829.43,79222688.0,0.82
2019-10-11,3885.52,3922.37,3911.73,3868.84,93412576.0,0.96
2019-10-14,3944.86,3983.81,3953.24,3934.73,122393608.0,1.06
2019-10-15,3953.16,3953.16,3936.25,3928.15,85273952.0,-0.43
2019-10-16,3939.28,3964.05,3922.69,3919.02,83229704.0,-0.34
2019-10-17,3929.39,3935.81,3925.22,3913.92,64863744.0,0.06
2019-10-18,3935.42,3940.54,3869.38,3864.97,82321144.0,-1.42
2019-10-21,3865.34,3884.74,3880.84,3856.04,74182920.0,0.3
2019-10-22,3896.31,3897.44,3895.88,3870.55,68918560.0,0.39
2019-10-23,3892.68,3901.42,3871.08,3862.2,70198624.0,-0.64
2019-10-24,3877.92,3890.2,3870.67,3852.58,71334576.0,-0.01
2019-10-25,3871.77,3899.72,3896.79,3849.03,77453616.0,0.68
2019-10-28,3904.98,3927.8,3926.59,3897.82,97406024.0,0.77
2019-10-29,3929.71,3932.37,3910.23,3910.23,82257072.0,-0.42
2019-10-30,3904.72,3908.1,3891.23,3883.45,77872920.0,-0.49
2019-10-31,3906.86,3907.15,3886.75,3878.88,86714544.0,-0.12
2019-11-01,3883.81,3956.08,3952.39,3876.42,100689616.0,1.69
2019-11-04,3964.01,3985.36,3978.12,3964.01,104193856.0,0.65
2019-11-05,3982.12,4030.64,4002.81,3970.87,112911880.0,0.62
2019-11-06,4006.33,4007.5,3984.88,3973.78,97312952.0,-0.45
2019-11-07,3984.55,4005.38,3991.87,3975.55,87254896.0,0.17
2019-11-08,4017.67,4022.04,3973.01,3971.57,97106944.0,-0.47
2019-11-11,3948.62,3948.62,3902.98,3897.55,94155624.0,-1.76
2019-11-12,3905.96,3914.88,3903.69,3877.74,76543072.0,0.02
2019-11-13,3905.28,3908.42,3899.98,3882.43,76749080.0,-0.1
2019-11-14,3905.93,3916.95,3905.86,3895.14,87008448.0,0.15
2019-11-15,3908.49,3915.1,3877.09,3877.09,83730920.0,-0.74
2019-11-18,3874.44,3913.1,3907.93,3868.32,76645992.0,0.8
2019-11-19,3904.1,3947.04,3947.04,3902.38,82161024.0,1.0
2019-11-20,3940.13,3943.23,3907.86,3901.99,76815336.0,-0.99
2019-11-21,3894.54,3901.83,3889.6,3875.97,69130536.0,-0.47
2019-11-22,3894.17,3918.84,3849.99,3833.5,91042640.0,-1.02
2019-11-25,3850.97,3878.25,3878.21,3839.42,106066288.0,0.73
2019-11-26,3893.43,3899.11,3891.65,3869.59,111513536.0,0.35
2019-11-27,3883.43,3889.98,3875.62,3862.7,76437304.0,-0.41
2019-11-28,3877.9,3887.69,3862.3,3852.01,65230120.0,-0.34
2019-11-29,3857.19,3861.66,3828.67,3804.83,74144336.0,-0.87
2019-12-02,3835.51,3854.75,3836.06,3829.31,77412176.0,0.19
2019-12-03,3829.21,3851.12,3851.09,3811.63,73611240.0,0.39
2019-12-04,3841.66,3852.99,3849.82,3831.07,79683384.0,-0.03
2019-12-05,3863.61,3883.4,3879.36,3859.82,89051200.0,0.77
2019-12-06,3885.06,3902.39,3902.39,3878.7,78648888.0,0.59
2019-12-09,3909.53,3911.97,3895.45,3885.25,95353808.0,-0.18
2019-12-10,3886.44,3900.96,3900.38,3882.09,86262928.0,0.13
2019-12-11,3907.16,3909.39,3902.75,3890.34,99765480.0,0.06
2019-12-12,3908.45,3908.45,3891.02,3886.12,84708328.0,-0.3
2019-12-13,3928.0,3969.46,3968.22,3925.28,148571344.0,1.98
2019-12-16,3970.71,3987.59,3987.55,3953.51,148486672.0,0.49
2019-12-17,3987.74,4067.14,4041.8,3984.52,201162944.0,1.36
2019-12-18,4039.72,4057.64,4032.78,4025.34,151351760.0,-0.22
2019-12-19,4034.62,4038.54,4027.15,4014.9,117900552.0,-0.14
2019-12-20,4032.15,4046.73,4017.25,4014.93,121267664.0,-0.25
2019-12-23,4014.69,4032.17,3967.1,3964.38,122816248.0,-1.25
2019-12-24,3971.56,3994.51,3992.96,3963.67,95989040.0,0.65
2019-12-25,3988.66,4000.56,3990.87,3976.36,94938888.0,-0.05
2019-12-26,3993.67,4025.99,4025.99,3993.54,108860640.0,0.88
2019-12-27,4029.25,4066.8,4022.03,4019.72,150926400.0,-0.1
2019-12-30,4015.52,4083.69,4081.63,4001.5,155971488.0,1.48
2019-12-31,4077.75,4098.14,4096.58,4069.01,123264256.0,0.37
2020-01-02,4121.35,4172.66,4152.24,4121.35,182116784.0,1.36
2020-01-03,4161.22,4164.3,4144.96,4131.86,142826240.0,-0.17
2020-01-06,4120.52,4170.64,4129.3,4102.38,175309952.0,-0.38
2020-01-07,4137.4,4161.25,4160.23,4135.1,139489040.0,0.75
2020-01-08,4139.63,4149.81,4112.32,4101.98,167585856.0,-1.15
2020-01-09,4145.53,4165.66,4164.37,4143.59,136886320.0,1.27
2020-01-10,4177.58,4180.98,4163.18,4148.48,113031720.0,-0.03
2020-01-13,4166.93,4203.99,4203.99,4148.6,119691984.0,0.98
